Kode_Desa,n_flagged_records,dominant_typology,top_rda_feature,persistence_score,years_flagged,Nama_Desa
1503022022,3,T1_Markup,activity_category,1.0,3,Muara Limun
1503042008,3,T7_CrossCatDump,activity_category,1.0,3,Pangkal Bulian
1503052007,3,T1_Markup,avg_completion,1.0,3,Muara Danau
1503062013,5,Unclassified,cost_per_unit,1.0,3,Bukitperanginan
-1,80,T7_CrossCatDump,avg_completion,1.0,3,
1501042029,3,Unclassified,avg_completion,1.0,3,Hiang Lestari
1501042031,3,Unclassified,avg_completion,1.0,3,Hiang Sakti
1501052036,6,T7_CrossCatDump,avg_completion,1.0,3,Sawahan Koto Majidin
1572032010,9,T1_Markup,activity_category,1.0,3,Paling Serumpun
1572042003,6,T1_Markup,cost_deviation_by_category,1.0,3,Koto Pudung
1572052007,4,T1_Markup,cost_per_unit,0.6667,2,Renah Kayu Embun
1501062019,2,Unclassified,avg_completion,0.6667,2,Siulak Tenang
1501062039,3,Unclassified,activity_category,0.6667,2,Sungai Batu Gantih Hilir
1501062040,2,T1_Markup,avg_completion,0.6667,2,Baru Sungai Betung Mudik
1501062043,3,T7_CrossCatDump,cost_per_unit,0.6667,2,Ujung Ladang
1501072006,2,Unclassified,activity_category,0.6667,2,Lubuk Paku
1501072007,3,T7_CrossCatDump,cost_deviation_by_category,0.6667,2,Tamiai
1501072008,2,Unclassified,cost_per_unit,0.6667,2,Pematang Lingkung
1501072009,2,T1_Markup,activity_category,0.6667,2,Pasar Tamiai
1501082003,4,T7_CrossCatDump,cost_per_unit,0.6667,2,Keluru
1501082006,2,T1_Markup,activity_category,0.6667,2,Benik
1509122008,2,T1_Markup,activity_category,0.6667,2,Olak Kemang
1572012006,7,T2_Ghost,avg_completion,0.6667,2,Gedang
1572012014,7,T1_Markup,avg_completion,0.6667,2,Amar Sakti
1572022002,3,T1_Markup,cost_per_unit,0.6667,2,Koto Keras
1572022005,4,T7_CrossCatDump,cost_per_unit,0.6667,2,Koto Tengah
1572022008,5,T1_Markup,avg_completion,0.6667,2,Koto Duo
1503062009,2,T1_Markup,avg_completion,0.6667,2,Kertopati
1503062012,3,T1_Markup,avg_completion,0.6667,2,Simpang Kertopati
1503062020,2,T1_Markup,avg_completion,0.6667,2,Gurun Baru
1503062022,3,Unclassified,avg_completion,0.6667,2,Mandiangin Pasar
1503072001,2,T2_Ghost,activity_category,0.6667,2,Lubuk Jering
1503072002,2,T2_Ghost,avg_completion,0.6667,2,Jernih
1503072003,4,T2_Ghost,avg_completion,0.6667,2,Desa Baru
1501012013,3,T1_Markup,cost_per_unit,0.6667,2,Dusun Baru Lempur
1501012018,2,Unclassified,activity_category,0.6667,2,Manjunto Lempur
1501022002,3,T1_Markup,activity_category,0.6667,2,Kota Baru Sanggaran Agung
1501022008,4,T7_CrossCatDump,avg_completion,0.6667,2,Koto Tengah
1501042010,3,T1_Markup,swakelola_high_value,0.6667,2,Tanjungmudo
1501042013,2,T1_Markup,avg_completion,0.6667,2,Koto Baru Hiang
1501042014,2,Unclassified,cost_per_unit,0.6667,2,Betung Kuning
1501042026,2,Unclassified,activity_category,0.6667,2,Ambai Bawah
1501042030,2,T1_Markup,avg_completion,0.6667,2,Angkasa Pura
1503032014,2,T2_Ghost,swakelola_high_value,0.6667,2,Ladang Panjang
1503032024,2,T1_Markup,avg_completion,0.6667,2,Baru
1503032027,4,T1_Markup,avg_completion,0.6667,2,Ujung Tanjung
1503042001,2,T7_CrossCatDump,avg_completion,0.6667,2,Pangidaran
1503042003,2,T1_Markup,activity_category,0.6667,2,Batu Ampar
1503042007,2,T1_Markup,activity_category,0.6667,2,Kasang Melintang
1503042009,3,T1_Markup,activity_category,0.6667,2,Lubuk Napal
1503052002,3,T1_Markup,activity_category,0.6667,2,Pelawan
1503052006,5,Unclassified,avg_completion,0.6667,2,Rantanu Tenang
1503052016,3,T1_Markup,swakelola_high_value,0.6667,2,Pematang Kulim
1503052017,3,T7_CrossCatDump,activity_category,0.6667,2,Batu Putih
1503052019,3,T1_Markup,activity_category,0.6667,2,Mekarsari
1503052021,2,T1_Markup,avg_completion,0.6667,2,Pasar Pelawan
1503052022,3,T2_Ghost,activity_category,0.6667,2,Pelawan Jaya
1503062001,3,T1_Markup,activity_category,0.6667,2,Mandiangin
